total price NTD,the unit price (NTD / square meter),main building area,auxiliary building area,balcony area,property age,distance to city center,area (square meters)
66000000,257370.0,193.1,24.7,38.64,39,1.8834457998409877,256.4401445389906
147000000,516509.0,152.96,8.54,10.19,29,8.425838219746566,284.6029788445119
38000000,310922.0,65.48,5.55,6.53,15,1.1544498898938982,122.21714770907172
27580000,350000.0,42.07,2.62,4.68,43,15.19587300605384,78.8
27300000,266954.0,54.56,1.73,5.69,8,14.548215555275918,102.26480966758318
35000000,192329.0,97.08,1.3,13.73,21,25.025458956843785,181.97983663410093
17000000,306306.0,31.52,1.39,3.65,39,9.579428573245957,55.5000555000555
10500000,125164.0,42.23,8.12,3.79,19,24.58337918878534,83.88993640343868
24180000,145374.0,90.97,3.51,9.32,23,29.05522608047478,166.32960501877915
18680000,199936.0,75.96,0.7,8.81,11,3.108042589286574,93.42989756722152
27800000,189686.0,66.96,7.23,6.38,11,23.85862626435417,146.55799584576616
23000000,257559.0,52.06,5.04,4.62,24,17.903698965560263,89.29992739527643
17880000,184864.0,50.97,17.5,8.37,36,14.661356027045017,96.71975073567596
25770000,203169.0,61.81,2.04,6.89,40,12.905805470619715,126.84021676535298
58000000,298693.0,104.37,4.11,10.5,24,23.64771378635713,194.1793078512051
24500000,130988.0,124.1,4.53,14.25,3,19.361160030740148,187.04003420160626
67300000,239088.0,145.7,14.57,10.75,22,24.248817691821177,281.48631466238373
24500000,92300.0,155.88,15.93,11.46,2,27.142956230960475,265.4387865655471
24860000,184790.0,77.02,4.99,6.65,24,18.709279506870114,134.5310893446615
23200000,235032.0,68.66,1.46,3.59,44,29.42365039022515,98.70996289866912
27250000,250990.0,75.29,10.79,8.81,30,18.438591561485612,108.57006255229292
9580000,236602.0,23.6,1.5,3.23,38,19.281007487857337,40.489936686925724
42880000,186576.0,112.5,7.34,20.08,2,16.867060451995656,229.82591544464455
38600000,300179.0,52.65,2.35,4.96,21,3.184561686014243,128.58994133500346
13400000,133400.0,75.77,5.99,18.69,33,21.928712463181732,100.44977511244377
12250000,182292.0,43.31,0.42,3.06,12,16.64966605352379,67.1998771202247
45380000,221339.0,109.89,9.6,11.88,22,13.801858198775081,205.02487135118528
18480000,175349.0,33.89,18.31,5.72,44,27.358902712896555,105.38982258239282
40000000,220313.0,121.95,6.13,7.43,25,9.289803820487538,181.55987163717074
38770000,302188.0,65.25,4.95,8.92,49,15.94626714244283,128.29761605358254
17000000,257264.0,37.57,1.55,4.05,27,21.080435209057168,66.07998009826481
23010000,194243.0,56.49,7.88,15.86,42,23.99591738237938,118.45986727964457
12800000,267895.0,26.84,1.33,3.08,28,14.050730834412088,47.779913772186866
10300000,304104.0,22.85,1.41,2.94,16,25.341696743051934,33.86999184489517
7600000,214932.0,20.03,0.49,3.04,15,23.183073368804227,35.36002084380176
18000000,223682.0,46.07,3.15,2.92,47,2.4539613466300425,80.47138348190735
15630000,287369.0,30.89,1.46,3.54,44,1.852907358936672,54.390000313186185
8400000,158431.0,25.09,0.79,2.43,3,18.81376769045169,53.019926655768124
17750000,232512.0,44.8,2.45,3.44,37,10.74869554264972,76.34014588494357
17500000,262630.0,33.67,0.92,2.22,7,6.669358336816169,66.63366713627536
39300000,185535.0,98.06,2.43,10.57,21,17.59967306691628,211.8198722612984
14780000,217866.0,26.29,0.92,4.54,9,10.576114708468078,67.83986487106753
43000000,232911.0,82.41,12.44,6.46,39,16.349270793065067,184.61987626174806
49000000,244647.0,115.02,7.3,13.43,18,14.073515190015375,200.28857905471966
19580000,253463.0,36.27,1.76,4.41,4,17.750600125500032,77.24993391540383
21300000,219814.0,44.34,1.13,7.98,25,12.3088644228533,96.90010645363807
29550000,158666.0,102.54,2.15,13.02,14,21.08119342405949,186.24027832049714
41680000,210938.0,101.18,11.77,19.52,50,5.811984534304306,197.59360570404573
22800000,179344.0,98.39,5.26,10.63,9,21.04679325369883,127.12998483361585
50000000,177148.0,148.43,7.27,13.51,26,12.64400582354708,282.24987016505975
38500000,329690.0,62.66,1.28,7.78,2,26.292369343205305,116.77636567684794
49080000,231161.0,121.41,3.68,16.0,20,15.699463618494221,212.3195521735933
37500000,188206.0,122.02,2.76,12.26,28,29.20675530346808,199.24975824362667
114200000,432642.0,131.53,8.27,16.15,47,18.257094168458327,263.95957858922617
32300000,220921.0,92.32,0.75,13.57,7,7.103547444236457,146.20610987638116
47980000,216476.0,112.25,6.91,11.28,44,24.742823786911252,221.64119810048226
47000000,273153.0,99.18,3.67,6.33,8,10.67993752076041,172.06474027376598
39650000,271862.0,86.63,3.97,6.44,47,10.754766827239164,145.8460542481112
43680000,296195.0,86.88,5.02,7.44,35,1.4382381038123713,147.47041644862338
53200000,266708.0,110.32,8.07,8.93,14,16.687101621618556,199.4690822922447
51680000,293934.0,100.1,3.63,8.18,17,16.26549336010943,175.821783121381
2500000,53112.0,29.64,1.03,4.04,36,11.00174878602359,47.0703419189637
4500000,33743.0,86.19,1.1,16.63,50,26.87940925542981,133.36099339122188
10250000,58928.0,150.94,1.09,15.12,40,4.298077749839495,173.94108064078196
15000000,127443.0,49.7,0.9,4.96,4,10.237935642649585,117.69967750288365
